"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese",
"STR_BC_DVL_Magazine_N","5rd DVL-10 Magazine","5rd DVL-10 Magazine","5rd DVL- 10 Magazine","5. DVL-10 Magazin","5-й журнал DVL-10","5rd DVL- 10 Magazine","5rd DVL- 10 Magazine","5rd DVL-10 Magazine","5rd DVL-10 Magazine","5e magazine DVL-10","第5DVL-10杂志","第5回DVL-10マガジン","5a Revista DVL-10",
"STR_BC_DVL_Magazine_D","5 .338 Lapua Magnum Rounds Magazine for the DVL-10","5 .338 Lapua Magnum Rounds Magazine for the DVL-10","5. 338 Lapua Magnum Rounds pro DVL-10","5.338 Lapua Magnum Rounds Magazine für die DVL-10","5 .338 Lapua Magnum Rounds Magazine для DVL-10","5. 338 Lapua Magnum Rounds Magazine for the DVL-10","5. 338 Lapua Magnum Kerekek Magazin a DVL- 10-hez","5 .338 Lapua Magnum Rounds Magazine per il DVL-10","5 .338 Lapua Magnum Rounds Magazine for the DVL-10","5 .338 Magazine Lapua Magnum Rounds pour le DVL-10","《DVL-10》杂志","5 .338 Lapua マグナム ラウンド マガジン DVL-10","5 .338 Revista Lapua Magnum Rounds para a DVL-10",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_DVLM1_N","DVL-10 M1 | Saboteur","DVL-10 M1 | Saboteur","DVL- 10 M1","DVL-10 | Saboteur","DVL-10 M1 - диверсант","DVL- 10 M1","DVL- 10 M1","DVL-10 M1 | Saboteur","DVL-10 M1","DVL-10 M1","DVL- 10 M1 分贝图尔","DVL-10 M1 | サボトルール","DVL-10 M1",
"STR_BC_DVLM1_D","DVL-10 (.338) is a lightweight, compact, and silenced rifle in proprietary and current military subsonic calibers and has been developed for special service and combat missions where exceptional accuracy and range are needed.","DVL-10 (.338) is a lightweight, compact, and silenced rifle in proprietary and current military subsonic calibers and has been developed for special service and combat missions where exceptional accuracy and range are needed.","DVL-10 (.338) je lehká, kompaktní a tlumená puška v proprietárních a současných vojenských podzvukových kalibrech a byla vyvinuta pro speciální servisní a bojové mise, kde je nutná mimořádná přesnost a rozsah.","DVL-10 (.338) ist ein leichtes, kompaktes und stilles Gewehr in proprietären und aktuellen militärischen Unterschall-Kalibern und wurde für spezielle Service- und Kampfmissionen entwickelt, bei denen außergewöhnliche Genauigkeit und Reichweite erforderlich sind.","DVL-10 (.338) - легкая, компактная и глушимая винтовка в собственных и современных дозвуковых калибрах и была разработана для специальных служебных и боевых задач, где требуется исключительная точность и дальность.","DVL- 10 (.338) to lekki, kompaktowy i wyciszony karabin w zastrzeżonych i obecnych wojskowych subsonicznych kalibrach i został opracowany do specjalnych misji serwisowych i bojowych, gdzie potrzebna jest wyjątkowa dokładność i zakres.","DVL-10 (.338) egy könnyű, kompakt és hangtompított puska védett és jelenlegi katonai szubszonikus kaliber, és kifejlesztett speciális szolgáltatás és harci küldetések, ahol kivételes pontosság és hatótávolság van szükség.","DVL-10 (.338) è un fucile leggero, compatto e silenziato in calibri subsonici proprietari e attuali militari ed è stato sviluppato per missioni di servizio e di combattimento speciali dove è necessaria una precisione e una gamma eccezionali.","DVL-10 (.338) es un rifle ligero, compacto y silenciado en calibres subsónicos militares patentados y actuales y ha sido desarrollado para misiones especiales de servicio y combate donde se necesitan precisión y rango excepcionales.","DVL-10 (338) est un fusil léger, compact et silencieux dans des calibres subsoniques militaires propriétaires et actuels et a été développé pour des missions de service spécial et de combat où une précision et une portée exceptionnelles sont nécessaires.","DVL-10 (338)是一款轻量级,紧凑型和静态的步枪,以专有和当前军用亚音速口径为主,为特殊服役和作战任务而研制,需要特殊精确度和射程.","DVL-10(.338)は、独自および現在の軍事サブソニックキャリバーの軽量でコンパクトな、そしてサイレンスなライフルであり、卓越した精度と範囲が必要な特別なサービスと戦闘の使命のために開発されています。","DVL-10 (.338) é um rifle leve, compacto e silenciado em calibres subsônicos militares proprietários e atuais e foi desenvolvido para missões especiais de serviço e combate onde é necessária precisão e alcance excepcionais.",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_DesertTechSRSA2_N","Desert Tech SRS-A2","Desert Tech SRS-A2","Desert Tech SRS-A2","Desert Tech SRS-A2","Пустынная техника SRS-A2","Desert Tech SRS- A2","Desert Tech SRS- A2","Desert Tech SRS-A2","Desert Tech SRS-A2","Technologie du désert SRS-A2","沙漠技术 SRS-A2","デザートテックSRS-A2","Desert Tech SRS-A2",
"STR_BC_DesertTechSRSA2_B","Desert Tech SRS-A2 | Black","Desert Tech SRS-A2 | Black","Desert Tech SRS- A2","Desert Tech SRS-A2 | Schwarz","Desert Tech SRS-A2 - Черный","Desert Tech SRS- A2","Desert Tech SRS-A2","Desert Tech SRS-A2 | Nero","Desert Tech SRS-A2   Black","Noir","沙漠技术 SRS-A2 黑色","デザートテック SRS-A2 | ブラック","Desert Tech SRS-A2",
"STR_BC_DesertTechSRSA2_D","The Desert Tech SRS-A2 .338 is a compact, bullpup bolt-action precision rifle chambered in .338 Lapua Magnum, designed for long-range engagement with excellent portability. Its minimal overall length, rigid barrel platform and modular multi-caliber capability deliver high accuracy and repeatable shot placement while remaining easier to maneuver and transport than traditional long-range rifles. - Model Donated by Oklart from Xyle Servers","The Desert Tech SRS-A2 .338 is a compact, bullpup bolt-action precision rifle chambered in .338 Lapua Magnum, designed for long-range engagement with excellent portability. Its minimal overall length, rigid barrel platform and modular multi-caliber capability deliver high accuracy and repeatable shot placement while remaining easier to maneuver and transport than traditional long-range rifles. - Model Donated by Oklart from Xyle Servers","Desert Tech SRS-A2 .338 je kompaktní, bulpup bolt- action precizní puška komora v .338 Lapua Magnum, určené pro dlouhodobé zapojení s vynikající přenositelnosti. Jeho minimální celková délka, tuhá nástupiště a modulární schopnost multiráže poskytují vysokou přesnost a opakovatelné umístění střel a zároveň zůstávají snadnější manévrovat a přepravovat než tradiční pušky dlouhého dosahu. - Model darovaný Oklartem z Xyle Servers","Das Desert Tech SRS-A2.338 ist ein kompaktes, schraubenförmiges Präzisionsgewehr, das in .338 Lapua Magnum eingekammert ist, das für den langjährigen Eingriff mit ausgezeichneter Portabilität ausgelegt ist. Die minimale Gesamtlänge, die starre Laufplattform und die modulare Multi-Kaliber-Fähigkeit bieten eine hohe Genauigkeit und wiederholbare Schussposition, während sie leichter zu manövrieren und zu transportieren sind als herkömmliche Langstreckengewehre. - Modell Gespendet von Oklart von Xyle Server","Desert Tech SRS-A2 .338 представляет собой компактную, бычью винтовку с точным действием болта под патрон .338 Lapua Magnum, предназначенную для дальнего боя с отличной портативностью. Его минимальная общая длина, жесткая платформа ствола и модульные многокалиберные возможности обеспечивают высокую точность и повторяемость выстрела, оставаясь при этом легче маневрировать и транспортировать, чем традиционные винтовки большой дальности. Модель, подаренная Oklart из Xyle Servers","Desert Tech SRS- A2 .338 jest kompaktowym, bulpup bolt-action precyzyjny karabinek w .338 Lapua Magnum, przeznaczony do zaangażowania o długim zasięgu z doskonałą przenośnością. Jego minimalna długość całkowita, sztywna platforma baryłkowa i modułowa zdolność wielokalibru zapewniają wysoką dokładność i powtarzalne umiejscowienie strzałów, a jednocześnie łatwiej manewrować i transportować niż tradycyjne karabiny dalekiego zasięgu. - Model darowany przez Oklart z Xyle Servers","A Desert Tech SRS-A2 .338 egy kompakt, bullup bolt-action precíziós puska, amely a .338 Lapua Magnum-ban található, és kiváló hordozóképességgel rendelkezik. Minimális teljes hossza, merev hordóplatform és moduláris multikaliber képessége magas pontosságot és megismételhető lövéseket biztosít, miközben könnyebb manőverezni és szállítani, mint a hagyományos hosszútávú puskák. - Model adományozta Oklart a Xyle Servers","Il Desert Tech SRS-A2 .338 è un fucile di precisione compatto e bullpup, in calibro .338 Lapua Magnum, progettato per un impegno a lungo raggio con ottima portabilità. La sua lunghezza complessiva minima, la piattaforma a canna rigida e la capacità modulare multicaliber garantiscono un'elevata precisione e un posizionamento del tiro ripetibile, pur rimanendo più facile da manovrare e trasportare rispetto ai tradizionali fucili a lungo raggio. - Modello Donato da Oklart da Xyle Server","El Desert Tech SRS-A2 .338 es un rifle de precisión compacta y de atornillado en la .338 Lapua Magnum, diseñado para un compromiso de largo alcance con excelente portabilidad. Su longitud total mínima, plataforma rígida de barriles y capacidad modular multi-caliber ofrecen alta precisión y colocación de disparos repetibles mientras que sigue siendo más fácil maniobrar y transportar que los rifles tradicionales de largo alcance. - Modelo Donado por Oklart de Xyle Servers","Le Desert Tech SRS-A2 .338 est un fusil de précision à effet de boulon compact à .338 Lapua Magnum, conçu pour un engagement à longue portée avec une excellente portabilité. Sa longueur hors tout minimale, sa plate-forme en baril rigide et sa capacité modulaire en plusieurs calibres offrent une précision élevée et un positionnement de tir répétable tout en restant plus facile à manœuvrer et à transporter que les fusils traditionnels à longue portée. - Modèle donné par Oklart à partir de serveurs Xyle","Desert Tech SRS-A2 338是一款紧凑而成的牛普螺栓动作精密步枪,装入了338相机Lapua Magnum,为长距离接力而设计,可移植性极佳. 其最小的总长度、刚性枪管平台和模块式多口径能力能提供高精度和可重复的射击位置,同时比传统的远程步枪更容易操作和运输。 - Xyle 服务器Oklart捐赠的模型","砂漠の技術SRS-A2 .338は優秀な可搬性との長距離の婚約のために設計されている.338 Lapuaのマグナムで造られる密集した、Bullpupのボルト行為の精密ライフルです。 その最小限の全長、堅いバレルのプラットホームおよびモジュラー多口径測定器機能は従来の長距離のライフルより操縦し、輸送すること容易な残っている間高精度および反復可能な打撃の配置を提供します。 - Xyle Server から Oklart によって寄付されたモデル","O Desert Tech SRS-A2 .338 é um rifle compacto, de precisão bullpup parafuso-ação com câmara em .338 Lapua Magnum, projetado para o engajamento de longo alcance com excelente portabilidade. Seu comprimento total mínimo, plataforma de barril rígida e capacidade modular multi-calibre oferecem alta precisão e colocação de tiro repetitivo, mantendo-se mais fácil de manobrar e transporte do que os rifles tradicionais de longo alcance. - Modelo Doado por Oklart de Servidores Xyle",
"STR_BC_DesertTechSRSA2_Magazine_N","Desert Tech SRS-A2 .338 Magazine","Desert Tech SRS-A2 .338 Magazine","Desert Tech SRS-A2. 338 Magazine","Desert Tech SRS-A2 .338 Magazin","Журнал Desert Tech SRS-A2.338","Desert Tech SRS- A2 .338 Magazine","Desert Tech SRS- A2 .338 Magazine","Desert Tech SRS-A2 .338 Magazine","Desert Tech SRS-A2 .338 Magazine","Desert Tech SRS-A2 .338 Magazine","Desert Tech SRS-A2 338 杂志","デザートテックSRS-A2 .338マガジン","Desert Tech SRS-A2 .338 Magazine",
"STR_BC_DesertTechSRSA2_Magazine_D",".338 Lapua Magnum Magazine for the Desert Tech SRS-A2",".338 Lapua Magnum Magazine for the Desert Tech SRS-A2",".338 Lapua Magnum Magazine pro Desert Tech SRS-A2",".338 Lapua Magnum Magazin für die Desert Tech SRS-A2",".338 Lapua Magnum Magazine for the Desert Tech SRS-A2",".338 Lapua Magnum Magazine for the Desert Tech SRS- A2","Lapua Magnum Magnum magazin a Desert Tech SRS-A2 számára",".338 Lapua Magnum Magazine per il Desert Tech SRS-A2",".338 Lapua Magnum Magazine for the Desert Tech SRS-A2",".338 Magazine Lapua Magnum pour la technologie du désert SRS-A2","3.38 Lapua Magnum 沙漠技术杂志 SRS-A2",".338 ラプアマグナム デザートテックSRS-A2用マガジン",".338 Lapua Magnum Magazine for the Desert Tech SRS-A2",
"STR_BC_DesertTechSRSA2_8Rnd_Magazine_N","8rd Desert Tech SRS-A2 .338LPM Magazine","8rd Desert Tech SRS-A2 .338LPM Magazine","8rd Desert Tech SRS-A2 .338LPM Časopis","8. Desert Tech SRS-A2 .338LPM Zeitschrift","8rd Desert Tech SRS-A2.338LPM журнал","8rd Desert Tech SRS- A2. 338LPM Magazyn","8rd Desert Tech SRS- A2 .338LPM Magazin","8° Desert Tech SRS-A2 .338LPM Magazine","8rd Desert Tech SRS-A2 .338LPM Magazine","8th Desert Tech SRS-A2 .338LPM Magazine","第8沙漠技术 杂志","第8デザートテック SRS-A2 .338LPM マガジン","8rd Desert Tech SRS-A2 .338LPM Revista",
"STR_BC_DesertTechSRSA2_8Rnd_Magazine_D","8 .338 Lapua Magnum Magazine for the Desert Tech SRS-A2","8 .338 Lapua Magnum Magazine for the Desert Tech SRS-A2","8. 338 Lapua Magnum Magazine pro Desert Tech SRS-A2","8.338 Lapua Magnum Magazin für die Desert Tech SRS-A2","8 .338 Lapua Magnum Magazine for the Desert Tech SRS-A2","8. 338 Lapua Magnum Magazine for the Desert Tech SRS- A2","8. 338 Lapua Magnum Magnum magazin a Desert Tech SRS-A2 számára","8 .338 Lapua Magnum Magazine per il Desert Tech SRS-A2","8 .338 Lapua Magnum Magazine for the Desert Tech SRS-A2","8 .338 Magazine Lapua Magnum pour la technologie du désert SRS-A2","沙漠技术杂志SRS-A2","8 .338 Lapua Magnum デザートテック SRS-A2 マガジン","8 .338 Lapua Magnum Magazine for the Desert Tech SRS-A2",
"STR_BC_DesertTechSRSA2_5Rnd_N","5rd Desert Tech SRS-A2 .338LPM Magazine","5rd Desert Tech SRS-A2 .338LPM Magazine","5rd Desert Tech SRS-A2 .338LPM Časopis","5. Desert Tech SRS-A2 .338LPM Zeitschrift","5rd Desert Tech SRS-A2.338LPM журнал","5rd Desert Tech SRS- A2. 338LPM Magazyn","5rd Desert Tech SRS- A2. 338LPM Magazin","5rd Desert Tech SRS-A2 .338LPM Magazine","5rd Desert Tech SRS-A2 .338LPM Magazine","5ème Desert Tech SRS-A2 .338LPM Magazine","第五次沙漠技术会议 杂志","第5デザートテック SRS-A2 .338LPM マガジン","5rd Desert Tech SRS-A2 .338LPM Revista",
"STR_BC_DesertTechSRSA2_5Rnd_D","5 .338 Lapua Magnum Magazine for the Desert Tech SRS-A2","5 .338 Lapua Magnum Magazine for the Desert Tech SRS-A2","5. 338 Lapua Magnum Magazine pro Desert Tech SRS-A2","5.338 Lapua Magnum Magazin für die Desert Tech SRS-A2","5 .338 Lapua Magnum Magazine for the Desert Tech SRS-A2","5. 338 Lapua Magnum Magazine for the Desert Tech SRS- A2","5. 338 Lapua Magnum Magnum magazin a Desert Tech SRS-A2 számára","5 .338 Lapua Magnum Magazine per il Desert Tech SRS-A2","5 .338 Lapua Magnum Magazine for the Desert Tech SRS-A2","5 .338 Magazine Lapua Magnum pour la technologie du désert SRS-A2","沙漠技术杂志SRS-A2","デザートテックSRS-A2の5 .338 Lapuaマグナムマガジン","5 .338 Lapua Magnum Magazine for the Desert Tech SRS-A2",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_DesertTechHTI_N","Desert Tech HTI","Desert Tech HTI","Desert Tech HTI","Wüstentechnik HTI","Технология пустыни HTI","Desert Tech HTI","Desert Tech HTI","Desert Tech HTI","Desert Tech HTI","Technique du désert HTI","沙漠技术HTI","デザートテックHTI","Desert Tech HTI",
"STR_BC_DesertTechHTI_N_B","Desert Tech HTI | Black","Desert Tech HTI | Black","Desert Tech HTI CLAS124; černá","Desert Tech HTI | Schwarz","Desert Tech HTI (Черный)","Desert Tech HTI 124; Czarny","Desert Tech HTI 124; Black","Desert Tech HTI | Nero","Desert Tech HTI   Black","Désert Tech HTI-Noir","沙漠技术 HTI 黑色","デザートテック HTI | ブラック","Desert Tech HTI",
"STR_BC_DesertTechHTI_N_F","Desert Tech HTI | FDE","Desert Tech HTI | FDE","Desert Tech HTI CLANE124; FDE","Desert Tech HTI | FDE","Desert Tech HTI (альбом)","Desert Tech HTI 124; FDE","Desert Tech HTI 124; FDE","Desert Tech HTI | FDE","Desert Tech HTI   FDE","Desert Tech HTI-FDE","沙漠技术HTI FDE","デザートテックHTI | FDE","Desert Tech HTI",
"STR_BC_DesertTechHTI_D","The Desert Tech HTI .50 is a modular, bullpup-configured anti-materiel rifle chambered for the powerful .50 BMG. Known for its compact design, reduced recoil, and precision at extreme ranges, it offers long-range capability in a lighter and more portable platform compared to traditional .50 caliber rifles. - Model Donated by Oklart from Xyle Servers","The Desert Tech HTI .50 is a modular, bullpup-configured anti-materiel rifle chambered for the powerful .50 BMG. Known for its compact design, reduced recoil, and precision at extreme ranges, it offers long-range capability in a lighter and more portable platform compared to traditional .50 caliber rifles. - Model Donated by Oklart from Xyle Servers","Desert Tech HTI .50 je modulární, bulpup-nakonfigurovaný antimateriální puška komora pro výkonný .50 BMG. Známý pro svůj kompaktní design, snížený zpětný ráz a přesnost v extrémních rozsazích, nabízí schopnost dlouhého dosahu v lehčí a přenosnější platformě ve srovnání s tradičními puškami ráže .50. - Model darovaný Oklartem z Xyle Servers","Das Desert Tech HTI.50 ist ein modulares, bullpup-konfiguriertes Anti-materiel-Gewehr, das für das leistungsfähige .50 BMG kammeriert ist. Bekannt für sein kompaktes Design, reduziertes Rückstoßen und Präzision in extremen Bereichen, bietet es Langstreckenfähigkeit in einer leichteren und tragbareren Plattform im Vergleich zu herkömmlichen .50 Kalibergewehren. - Modell Gespendet von Oklart von Xyle Server","Desert Tech HTI .50 - это модульная, сконфигурированная буллпап анти-материальная винтовка, предназначенная для мощной .50 BMG. Известный своей компактной конструкцией, уменьшенной отдачей и точностью на экстремальных расстояниях, он предлагает дальнобойность в более легкой и портативной платформе по сравнению с традиционными винтовками калибра .50. Модель, подаренная Oklart из Xyle Servers","Desert Tech HTI .50 jest modułowym, konfigurowanym przez bullupak karabinem antymaterialnym dla potężnego .50 BMG. Znany ze swojej kompaktowej konstrukcji, zmniejszonego odrzutu i precyzji w skrajnych zakresach, oferuje możliwości dalekiego zasięgu w lżejszej i bardziej przenośnej platformie w porównaniu do tradycyjnych karabinów kaliber .50. - Model darowany przez Oklart z Xyle Servers","A Desert Tech HTI .50 egy moduláris, bullpool-konfigurált anti- materiel puska, ami az erős .50 BMG-hez van kötve. A kompakt kialakítású, redukált visszapillantó és precíziós extrém tartományokban a hagyományos .50 kaliberű puskákhoz képest nagyobb hatótávolságú, könnyebb és hordozható platformot kínál. - Model adományozta Oklart a Xyle Servers","Il Desert Tech HTI .50 è un fucile anti-materiel modulare configurato con bullpup per la potente .50 BMG. Conosciuto per il suo design compatto, il rinculo ridotto e la precisione nelle gamme estreme, offre una capacità a lungo raggio in una piattaforma più leggera e portatile rispetto ai tradizionali fucili calibro .50. - Modello Donato da Oklart da Xyle Server","El Desert Tech HTI .50 es un rifle antimateriel modular configurado para el poderoso .50 BMG. Conocido por su diseño compacto, reducción del retroceso y precisión en rangos extremos, ofrece capacidad de largo alcance en una plataforma más ligera y portátil en comparación con los rifles de calibre .50 tradicionales. - Modelo Donado por Oklart de Xyle Servers","Le Desert Tech HTI .50 est un fusil anti-matériel modulaire, configuré en bullup, pour le puissant .50 BMG. Connu pour sa conception compacte, son recul réduit et sa précision à des distances extrêmes, il offre une capacité de longue portée dans une plate-forme plus légère et plus portable que les fusils traditionnels de calibre 50. - Modèle donné par Oklart à partir de serveurs Xyle","Desert Tech HTI.50是一款模块化的,由牛排配置而成的反体相机步枪,为强大的50 BMG所装. 它因其紧凑的设计、后坐力的降低和在极端范围内的精度而闻名,与传统的0.5口径步枪相比,它在更轻和更便携的平台上提供了远程能力。 - Xyle 服务器Oklart捐赠的模型","砂漠の技術HTI .50は強力な.50 BMGのためにチャンバーされるモジュラー、ブルップ構成された反materielのライフルです。 コンパクトな設計、リコイルを削減し、極端な範囲で精度を削減するために知られており、従来の.50キャリバーリフと比較して、より軽量でよりポータブルなプラットフォームで長持ちする機能を提供します。 - Xyle Server から Oklart によって寄付されたモデル","O Deserto Tech HTI .50 é um rifle anti-materiel modular e configurado para o poderoso .50 BMG. Conhecido por seu design compacto, recuo reduzido e precisão em escalas extremas, ele oferece capacidade de longo alcance em uma plataforma mais leve e portátil em comparação com rifles calibre .50 tradicionais. - Modelo Doado por Oklart de Servidores Xyle",
"STR_BC_DesertTechHTI_Magazine_N","5rd Desert Tech HTI .50 Magazine","5rd Desert Tech HTI .50 Magazine","5rd Desert Tech HTI .50 Magazine","5. Desert Tech HTI.50 Magazin","5-й журнал Desert Tech HTI .50","5rd Desert Tech HTI .50 Magazine","5rd Desert Tech HTI .50 Magazine","5rd Desert Tech HTI 50 Magazine","5rd Desert Tech HTI .50 Magazine","5th Desert Tech HTI .50 Magazine","第五沙漠技术HTI 50杂志","第5回デザートテックHTI.50マガジン","5rd Desert Tech HTI .50 Magazine",
"STR_BC_DesertTechHTI_Magazine_D","5 .50 BMG Magazine for the Desert Tech HTI","5 .50 BMG Magazine for the Desert Tech HTI","5. 50 BMG Magazine for the Desert Tech HTI","5.50 BMG Magazin für die Desert Tech HTI","5.50 BMG Magazine для Desert Tech HTI","5. 50 BMG Magazine for the Desert Tech HTI","5 .50 BMG Magazine for the Desert Tech HTI","5 .50 BMG Magazine per il Desert Tech HTI","5 .50 BMG Magazine for the Desert Tech HTI","5 .50 Magazine BMG pour la technologie du désert HTI","5.50 BMG 沙漠技术HTI杂志","デザートテックHTIの5 .50 BMGマガジン","5 .50 BMG Magazine for the Desert Tech HTI",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_CZTSR_N","CZ-TSR","CZ-TSR","CZ- TSR","CZ-TSR","CZ-TSR","CZ- TSR","CZ- TSR","CZ-TSR","CZ-TSR","CZ-TSR","CZ-TSR (捷克语)","CZ-TSRの特長","CZ-TSR",
"STR_BC_CZTSR_N_B","CZ-TSR | Black","CZ-TSR | Black","CZ- TSR 124; černá","CZ-TSR | Schwarz","CZ-TSR - черный","CZ- TSR 124; czarny","CZ- TSR 124; fekete","CZ-TSR | Nero","CZ-TSR   Black","Noir CZ-TSR","CZ - TSR 黑调","CZ-TSR | ブラック","CZ-TSR",
"STR_BC_CZTSR_D","The CZ-TSR is a bolt-action tactical sniper rifle chambered in .338 Lapua Magnum designed for military, police, and long-distance sport shooting, emphasizing high accuracy (guaranteed sub-MOA) and reliability in adverse conditions. Key features include a cold hammer-forged barrel, an adjustable folding stock, a customizable adjustable trigger, a helically fluted bolt for durability, and multiple MIL-STD-1913 mounting rails for accessories. - Model Donated by Arnaud from Murders Resign","The CZ-TSR is a bolt-action tactical sniper rifle chambered in .338 Lapua Magnum designed for military, police, and long-distance sport shooting, emphasizing high accuracy (guaranteed sub-MOA) and reliability in adverse conditions. Key features include a cold hammer-forged barrel, an adjustable folding stock, a customizable adjustable trigger, a helically fluted bolt for durability, and multiple MIL-STD-1913 mounting rails for accessories. - Model Donated by Arnaud from Murders Resign","CZ-TSR je bolt-action taktická odstřelovací puška komora v .338 Lapua Magnum navržen pro vojenské, policejní a dálkové sportovní střílení, zdůrazňuje vysokou přesnost (zaručená sub- MOA) a spolehlivost v nepříznivých podmínkách. Mezi klíčové funkce patří studený kladívko-kované barel, nastavitelný skládací zásobník, přizpůsobitelný nastavitelný spoušť, šikmý šroub pro trvanlivost a několik montážních kolejnic MIL- STD- 1913 pro příslušenství. - Model darovaný Arnaudem z Murders Reign","Das CZ-TSR ist eine bolzen-Aktion taktische Scharfschützengewehr in .338 Lapua Magnum für militärische, polizeiliche und Fernsportschießen konzipiert, die hohe Genauigkeit (garantierte Sub-MOA) und Zuverlässigkeit unter widrigen Bedingungen betont. Zu den Hauptmerkmalen gehören ein kalt hammergeschmiedeter Lauf, ein verstellbarer Klappstock, ein anpassbarer verstellbarer Auslöser, ein schraubenförmig gerillter Bolzen für Haltbarkeit und mehrere MIL-STD-1913 Montageschienen für Zubehör. - Modell Gespendet von Arnaud von Murders Resign","CZ-TSR - это тактическая снайперская винтовка с затворным действием под патрон .338 Lapua Magnum, предназначенная для военной, полицейской и дальней спортивной стрельбы, подчеркивающая высокую точность (гарантированная под-MOA) и надежность в неблагоприятных условиях. Ключевые особенности включают холодную бочку, кованую молотком, регулируемый складной запас, настраиваемый регулируемый триггер, спирально спущенный болт для долговечности и несколько крепежных рельсов MIL-STD-1913 для аксессуаров. Модель, подаренная Арно из Murders Resign","CZ- TSR jest bolt- action taktyczny karabin snajperski w .338 Lapua Magnum przeznaczony do wojskowych, policji i długie odległości strzelanie sportowe, podkreślając wysoką dokładność (gwarantowane sub- MOA) i niezawodność w niekorzystnych warunkach. Kluczowe cechy to: kuta na zimno beczka młotkowa, regulowany stos składany, regulowany zapalnik, śruba helitycznie płynna dla trwałości oraz wiele szyn montażowych MIL- STD- 1913 dla akcesoriów. - Model darowany przez Arnauda z Rezygnacji Morderstw","A CZ- TSR egy bolt-action taktikai mesterlövész puska chamber .338 Lapua Magnum tervezett katonai, rendőrség, és hosszú távú sport lövés, hangsúlyozva a nagy pontosság (garantált szub- MOA) és megbízhatóság kedvezőtlen körülmények között. A legfontosabb funkciók közé tartozik egy hideg kalapács kovácsolt hordó, egy állítható összecsukható állomány, egy testreszabható állítható kioldó, egy helically fuled csavar tartósság, és több MIL- STD- 1913 szerelési sínek tartozékok. - Modell által adományozott Arnaud a Murders Resign","Il CZ-TSR è un fucile da cecchino tattico ad azione serrata in .338 Lapua Magnum progettato per militari, polizia e tiro sportivo a lunga distanza, sottolineando alta precisione (sotto-MOA garantito) e affidabilità in condizioni avverse. Le caratteristiche principali includono una canna a freddo forgiato a martellato, uno stock pieghevole regolabile, un trigger regolabile personalizzabile, un bullone elicoidale per la durata e più guide di montaggio MIL-STD-1913 per gli accessori. - Modello Donato da Arnaud da Murders Dimissioni","El CZ-TSR es un rifle de francotirador táctico de acción de tornillo en la .338 Lapua Magnum diseñado para disparos militares, policiales y deportivos de larga distancia, destacando alta precisión (subMOA garantizada) y fiabilidad en condiciones adversas. Las características clave incluyen un barril forjado de martillo frío, una acción plegable ajustable, un disparador ajustable personalizable, un tornillo helically fluted para durabilidad, y múltiples carriles de montaje MIL-STD-1913 para accesorios. - Modelo Donado por Arnaud de la Resignación de Asesinos","Le CZ-TSR est un fusil à sniper tactique à action de boulon en .338 Lapua Magnum conçu pour le tir sportif militaire, policier et de longue distance, mettant l'accent sur la haute précision (sous-MOA garanti) et la fiabilité dans des conditions défavorables. Les caractéristiques principales comprennent un canon forgé à marteau à froid, un stock de pliage réglable, une gâchette réglable personnalisable, un boulon hélicoïdal pour la durabilité et plusieurs rails de montage MIL-STD-1913 pour accessoires. - Modèle donné par Arnaud à partir de Meurtres Démission","CZ-TSR是一款枪栓动作战术狙击步枪,装入338年的Lapua Magnum为军方,警方,以及长途运动射击所设计,强调高精度(保证分MOA)和在不利条件下的可靠性. 关键特征包括:一个冷锤叉管,一个可调整的折叠存量,一个可定制的可调整扳机,一个用于耐久性的螺栓,以及多个用于配件的MIL-STD-1913架起的铁路. - 模型捐赠阿尔诺 从谋杀辞职","CZ-TSR は、軍、警察、長距離スポーツ撮影用に設計された .338 ラプア マグナムでチャンバーされている、ボルトアクション戦術的なスナイパー ライフルで、高い精度(保証されたサブMOA)と有害条件の信頼性を強調しています。 主な特長は、冷間ハンマー鍛造バレル、調整可能な折りたたみストック、カスタマイズ可能な調整可能なトリガー、耐久性、および付属品のための複数のMIL-STD-1913取り付けレールが含まれます。 - Murders ResignからArnaudによって寄付されたモデル","O CZ-TSR é um rifle de sniper tático de ação de parafusos com calibre .338 Lapua Magnum projetado para tiro militar, policial e esportivo de longa distância, enfatizando alta precisão (garantida sub-MOA) e confiabilidade em condições adversas. As principais características incluem um barril forjado a frio com martelo, um suporte dobrável ajustável, um gatilho ajustável personalizável, um parafuso helicoidal para durabilidade e vários trilhos de montagem MIL-STD-1913 para acessórios. - Modelo Doado por Arnaud de Assassinatos Renunciar",
"STR_BC_CZTSR_Magazine_N","8rd CZ-TSR Magazine","8rd CZ-TSR Magazine","8. časopis CZ- TSR","8. CZ-TSR Magazin","8-й журнал CZ-TSR","8rd CZ- TSR Magazine","8rd CZ- TSR Magazine","8° CZ-TSR Magazine","8a revista CZ-TSR","8e magazine CZ-TSR","第8CZ-TSR杂志","第8回CZ-TSRマガジン","8a Revista CZ-TSR",
